card_id	filename	entity_type	wiki_page	file_title	source_url	source_revision	sha256	match_method	pixel_art	source_sha256	bundled_fallback
item.silver_locks.25451	assets/de7415de4844740ec8ee83fa083b2cd56e1a7ba73ccb87cc433cb3fda3cf42fa.png	ITEM	Silver locks	Silver locks detail.png	https://oldschool.runescape.wiki/images/thumb/Silver_locks_detail.png/130px-Silver_locks_detail.png	osrs-tcg-offline-cache	de7415de4844740ec8ee83fa083b2cd56e1a7ba73ccb87cc433cb3fda3cf42fa	osrs-tcg-exact-display-name	false	de7415de4844740ec8ee83fa083b2cd56e1a7ba73ccb87cc433cb3fda3cf42fa	true
item.silver_necklace.1796	assets/a45e1765827d82ec342c09c61767a02d718d711a3339bbca20e367edca90201f.png	ITEM	Silver necklace	Silver necklace detail.png	https://oldschool.runescape.wiki/images/Silver_necklace_detail.png?a2e16	page:;file:2021-08-21T23:00:32Z	a45e1765827d82ec342c09c61767a02d718d711a3339bbca20e367edca90201f	category-index	false	0b7ab38cd618ec1f32903a06fa65b43a7c5f2efc5c10d9a964b0f43d14d2656d	true
item.silver_needle.1804	assets/c46e2cc44a1dc2ff978014790e271e14f4291645ce88d95a7f6c185577f1ca43.png	ITEM	Silver needle	Silver needle detail.png	https://oldschool.runescape.wiki/images/Silver_needle_detail.png?d100a	page:;file:2021-08-21T23:00:26Z	c46e2cc44a1dc2ff978014790e271e14f4291645ce88d95a7f6c185577f1ca43	category-index	false	a5e00ab65fd5023cf2f6f7ea349490f3720abc5c05f5b6a9379c0ea982f23d41	true
item.silver_ore_fragment.21533	assets/5bc2385851b6c26459b9354f7b29613ea6db997bd72ebb28e0738eb79b8d990f.png	ITEM	Silver ore fragment	Silver ore fragment detail.png	https://oldschool.runescape.wiki/images/Silver_ore_fragment_detail.png?297df	page:;file:2021-08-21T23:00:34Z	5bc2385851b6c26459b9354f7b29613ea6db997bd72ebb28e0738eb79b8d990f	category-index	false	737e8ab0574a3b985bb3526c8f8c46a133c7e04fb9cc5b24b6926b60f29899e1	true
item.silver_sickle.2961	assets/819dbb6028624a7671a312c7f6ed0e4166d9c48b93c68b049c6fb92e32c9f67c.png	ITEM	Silver sickle	Silver sickle detail.png	https://oldschool.runescape.wiki/images/Silver_sickle_detail.png?5cefd	page:;file:2021-08-21T23:00:31Z	819dbb6028624a7671a312c7f6ed0e4166d9c48b93c68b049c6fb92e32c9f67c	category-index	false	f0204d6a1ad6cc25057fcabb8b3572e31e16e71a07c58321fe35946fcd833611	true
item.silver_sickle_b.2963	assets/6ccc80c04b54f71a09aeb17d555b7cc0b9a40ca7e7222e0bd224d2d9ebea1807.png	ITEM	Silver sickle (b)	Silver sickle (b) detail.png	https://oldschool.runescape.wiki/images/Silver_sickle_%28b%29_detail.png?b54c8	page:;file:2026-07-05T19:10:40Z	6ccc80c04b54f71a09aeb17d555b7cc0b9a40ca7e7222e0bd224d2d9ebea1807	category-index	false	059e17d52e3a24dac3522a3b74cdda9011d295b204087127ce2aabcf341f77de	true
item.silverlight.2402	assets/7da4f6c85768c0e37fac01cb206150ddf4dcce335beebaa8e4824cb8acf75709.png	ITEM	Silverlight	Silverlight detail.png	https://oldschool.runescape.wiki/images/Silverlight_detail.png?c0359	page:;file:2021-08-21T23:00:13Z	7da4f6c85768c0e37fac01cb206150ddf4dcce335beebaa8e4824cb8acf75709	category-index	false	2e9e835f576b2b4f1bf97935faf96c8f6c1e29589292c92209b91da7a72d7440	true
item.silvthrill_ballista.33800	assets/17ea747d4c0f35636785e2100a5b8be06d3ecf052744d7fd9b6243fe14ed55cc.png	ITEM	Silvthrill ballista	Silvthrill ballista detail.png	https://oldschool.runescape.wiki/images/Silvthrill_ballista_detail.png?db2ed	page:;file:2026-06-30T15:30:10Z	17ea747d4c0f35636785e2100a5b8be06d3ecf052744d7fd9b6243fe14ed55cc	category-index	false	50c706b4fd5509e0a5ec0cc8e729bdc0e0cae0b778d6470677820991beb62fba	true
item.silvthrill_javelin.33801	assets/438a10440e0bedb990807a75e0c12da7c703cf3e3567d3724845320d838102e9.png	ITEM	Silvthrill javelin	Silvthrill javelin detail.png	https://oldschool.runescape.wiki/images/Silvthrill_javelin_detail.png?db2ed	page:;file:2026-06-30T15:30:10Z	438a10440e0bedb990807a75e0c12da7c703cf3e3567d3724845320d838102e9	category-index	false	8c19e26cc2ce48288b0b35f7bc741826dbfc7a12a08257ff643a7cb21cbc0425	true
item.sinew.9436	assets/18ff9b8e8eb266c8cb6b3666494de1c656bec914dcdfcc2067993acbc99eb231.png	ITEM	Sinew	Sinew detail.png	https://oldschool.runescape.wiki/images/thumb/Sinew_detail.png/130px-Sinew_detail.png	osrs-tcg-offline-cache	18ff9b8e8eb266c8cb6b3666494de1c656bec914dcdfcc2067993acbc99eb231	osrs-tcg-exact-display-name	false	18ff9b8e8eb266c8cb6b3666494de1c656bec914dcdfcc2067993acbc99eb231	true
